Country,Location,Note,2020
World,World,,  7 795 482
More developed regions,   More developed regions,a,  1 269 277
Less developed regions,   Less developed regions,b,  6 526 205
Least developed countries,      Least developed countries,c,  1 073 984
"Less developed regions, excluding least developed countries","      Less developed regions, excluding least developed countries",d,  5 452 221
"Less developed regions, excluding China","   Less developed regions, excluding China",,  5 069 640
High-income countries,   High-income countries,e,  1 207 775
Middle-income countries,   Middle-income countries,e,  5 852 576
Lower-middle-income countries,      Lower-middle-income countries,e,  3 182 454
Upper-middle-income countries,      Upper-middle-income countries,e,  2 670 122
Low-income countries,   Low-income countries,e,   732 133
Sub-Saharan Africa,   Sub-Saharan Africa,f,  1 106 573
Africa,   Africa,,  1 352 622
Eastern Africa,      Eastern Africa,,   457 440
Burundi,         Burundi,,   11 939
Comoros,         Comoros,,870
Djibouti,         Djibouti,,   1 000
Eritrea,         Eritrea,,   5 432
Ethiopia,         Ethiopia,,   112 759
Kenya,         Kenya,,   53 492
Madagascar,         Madagascar,,   27 691
Malawi,         Malawi,,   20 284
Mauritius,         Mauritius,1,   1 274
Mayotte,         Mayotte,,273
Mozambique,         Mozambique,,   32 309
Réunion,         Réunion,,897
Rwanda,         Rwanda,,   13 087
Seychelles,         Seychelles,,96
Somalia,         Somalia,,   16 105
South Sudan,         South Sudan,,   13 610
Uganda,         Uganda,,   47 188
United Republic of Tanzania,         United Republic of Tanzania,2,   62 775
Zambia,         Zambia,,   18 679
Zimbabwe,         Zimbabwe,,   17 680
Middle Africa,      Middle Africa,,   178 959
Angola,         Angola,,   32 827
Cameroon,         Cameroon,,   25 958
Central African Republic,         Central African Republic,,   4 921
Chad,         Chad,,   16 285
Congo,         Congo,,   5 687
Democratic Republic of the Congo,         Democratic Republic of the Congo,,   89 505
Equatorial Guinea,         Equatorial Guinea,,   1 406
Gabon,         Gabon,,   2 151
Sao Tome and Principe,         Sao Tome and Principe,,218
Northern Africa,      Northern Africa,,   246 049
Algeria,         Algeria,,   43 333
Egypt,         Egypt,,   102 941
Libya,         Libya,,   6 662
Morocco,         Morocco,,   37 071
Sudan,         Sudan,,   43 541
Tunisia,         Tunisia,,   11 903
Western Sahara,         Western Sahara,,597
Southern Africa,      Southern Africa,,   67 595
Botswana,         Botswana,,   2 416
Lesotho,         Lesotho,,   2 322
Namibia,         Namibia,,   2 697
South Africa,         South Africa,,   58 721
Swaziland,         Swaziland,,   1 439
Western Africa,      Western Africa,,   402 579
Benin,         Benin,,   12 123
Burkina Faso,         Burkina Faso,,   20 903
Cabo Verde,         Cabo Verde,,567
Côte d'Ivoire,         Côte d'Ivoire,,   26 172
Gambia,         Gambia,,   2 293
Ghana,         Ghana,,   30 734
Guinea,         Guinea,,   13 751
Guinea-Bissau,         Guinea-Bissau,,   2 001
Liberia,         Liberia,,   5 104
Mali,         Mali,,   20 284
Mauritania,         Mauritania,,   4 784
Niger,         Niger,,   24 075
Nigeria,         Nigeria,,   206 153
Saint Helena,         Saint Helena,3,4
Senegal,         Senegal,,   17 200
Sierra Leone,         Sierra Leone,,   8 047
Togo,         Togo,,   8 384
Asia,   Asia,,  4 623 454
Eastern Asia,      Eastern Asia,,  1 663 619
China,         China,4,  1 424 548
"China, Hong Kong SAR","         China, Hong Kong SAR",5,   7 548
"China, Macao SAR","         China, Macao SAR",6,652
"China, Taiwan Province of China","         China, Taiwan Province of China",,   23 818
Dem. People's Republic of Korea,         Dem. People's Republic of Korea,,   25 841
Japan,         Japan,,   126 496
Mongolia,         Mongolia,,   3 209
Republic of Korea,         Republic of Korea,,   51 507
South-Central Asia,      South-Central Asia,7,  2 009 437
Central Asia,         Central Asia,,   73 821
Kazakhstan,            Kazakhstan,,   18 777
Kyrgyzstan,            Kyrgyzstan,,   6 302
Tajikistan,            Tajikistan,,   9 475
